name,domains,web_pages,country,alpha_two_code,state-province
Antioch University - Seattle,['seattleantioch.edu'],['http://www.seattleantioch.edu/'],United States,US,
Appalachian State University,['appstate.edu'],['http://www.appstate.edu/'],United States,US,
Aquinas College,['aquinas.edu'],['http://www.aquinas.edu/'],United States,US,
Arcadia College,['arcadia.edu'],['http://www.arcadia.edu/'],United States,US,
Arizona State University,['asu.edu'],['http://www.asu.edu/'],United States,US,
Arizona Western College,['azwestern.edu'],['http://www.azwestern.edu/'],United States,US,
Arkansas State University,['astate.edu'],['http://www.astate.edu/'],United States,US,
Arkansas Tech University,['atu.edu'],['http://www.atu.edu/'],United States,US,
Armstrong State College,['armstrong.edu'],['http://www.armstrong.edu/'],United States,US,
Ashland University,['ashland.edu'],['http://www.ashland.edu/'],United States,US,
Assumption College,['assumption.edu'],['http://www.assumption.edu/'],United States,US,
Auburn University,['auburn.edu'],['http://www.auburn.edu/'],United States,US,
Auburn University at Montgomery,['aum.edu'],['http://www.aum.edu/'],United States,US,
Augsburg College,['augsburg.edu'],['http://www.augsburg.edu/'],United States,US,
Augustana College (IL),['augustana.edu'],['http://www.augustana.edu/'],United States,US,
Augustana College (SD),['augie.edu'],['http://www.augie.edu/'],United States,US,
Augusta University,"['augusta.edu', 'gru.edu']","['http://www.augusta.edu/', 'http://www.gru.edu/']",United States,US,
Aurora University,['aurora.edu'],['http://www.aurora.edu/'],United States,US,
Austin College,['austincollege.edu'],['http://www.austincollege.edu/'],United States,US,
Austin Community College,['austincc.edu'],['http://www.austincc.edu/'],United States,US,
Austin Peay State University,['apsu.edu'],['http://www.apsu.edu/'],United States,US,
Averett College,['averett.edu'],['http://www.averett.edu/'],United States,US,
Avila College,['avila.edu'],['http://www.avila.edu/'],United States,US,
Azusa Pacific University,['apu.edu'],['http://www.apu.edu/'],United States,US,
Babson College,['babson.edu'],['http://www.babson.edu/'],United States,US,
Baker University,['bakeru.edu'],['http://www.bakeru.edu/'],United States,US,
Ball State University,['bsu.edu'],['http://www.bsu.edu/'],United States,US,
Baptist Bible College,['bbc.edu'],['http://www.bbc.edu/'],United States,US,
Bard College,['bard.edu'],['http://www.bard.edu/'],United States,US,
Barry University,['barry.edu'],['http://www.barry.edu/'],United States,US,
Bastyr University,['bastyr.edu'],['http://www.bastyr.edu/'],United States,US,
Bates College,['bates.edu'],['http://www.bates.edu/'],United States,US,
Baylor College of Medicine,['bcm.edu'],['http://www.bcm.edu/'],United States,US,
Baylor University,['baylor.edu'],['http://www.baylor.edu/'],United States,US,
Bellevue University,['bellevue.edu'],['http://www.bellevue.edu/'],United States,US,
Belmont University,['belmont.edu'],['http://www.belmont.edu/'],United States,US,
Beloit College,['beloit.edu'],['http://www.beloit.edu/'],United States,US,
Bemidji State University,['bemidjistate.edu'],['http://www.bemidjistate.edu/'],United States,US,
Benedictine College,['benedictine.edu'],['http://www.benedictine.edu/'],United States,US,
Bennington College,['bennington.edu'],['http://www.bennington.edu/'],United States,US,
Bentley College,['bentley.edu'],['http://www.bentley.edu/'],United States,US,
Berea College,['berea.edu'],['http://www.berea.edu/'],United States,US,
Berklee College of Music,['berklee.edu'],['http://www.berklee.edu/'],United States,US,
Bethany College,['bethanywv.edu'],['http://www.bethanywv.edu/'],United States,US,
Bethel College (KS),['bethelks.edu'],['http://www.bethelks.edu/'],United States,US,
Bethel University,['bethel.edu'],['http://www.bethel.edu/'],United States,US,
Biola University,['biola.edu'],['http://www.biola.edu/'],United States,US,
Birmingham-Southern College,['bsc.edu'],['http://www.bsc.edu/'],United States,US,
Black Hills State University,['bhsu.edu'],['http://www.bhsu.edu/'],United States,US,
Bloomsburg University of Pennsylvania,['bloomu.edu'],['http://www.bloomu.edu/'],United States,US,Pennsylvania
Bluffton College,['bluffton.edu'],['http://www.bluffton.edu/'],United States,US,
Bob Jones University,['bju.edu'],['http://www.bju.edu/'],United States,US,
Boise State University,['boisestate.edu'],['http://www.boisestate.edu/'],United States,US,
Boston College,['bc.edu'],['http://www.bc.edu/'],United States,US,
Boston Graduate School of Psychoanalysis,['bgsp.edu'],['http://www.bgsp.edu/'],United States,US,
Boston University,['bu.edu'],['http://www.bu.edu/'],United States,US,
Bowdoin College,['bowdoin.edu'],['http://www.bowdoin.edu/'],United States,US,
Bowie State University,['bowiestate.edu'],['http://www.bowiestate.edu/'],United States,US,
Bowling Green State University,['bgsu.edu'],['http://www.bgsu.edu/'],United States,US,
Bradley University,['bradley.edu'],['http://www.bradley.edu/'],United States,US,
Brandeis University,['brandeis.edu'],['http://www.brandeis.edu/'],United States,US,
Brenau University,['brenau.edu'],['http://www.brenau.edu/'],United States,US,
Briar Cliff College,['briar-cliff.edu'],['http://www.briar-cliff.edu/'],United States,US,
Bridgewater College,['bridgewater.edu'],['http://www.bridgewater.edu/'],United States,US,
Brigham Young University,['byu.edu'],['http://www.byu.edu/'],United States,US,
Brigham Young University - Idaho,['byui.edu'],['http://www.byui.edu/'],United States,US,
Brigham Young University Hawaii,['byuh.edu'],['http://www.byuh.edu/'],United States,US,
Broward College,['broward.edu'],['http://www.broward.edu/'],United States,US,
Brown University,['brown.edu'],['http://www.brown.edu/'],United States,US,
Bryant College,['bryant.edu'],['http://www.bryant.edu/'],United States,US,
Bryn Mawr College,['brynmawr.edu'],['http://www.brynmawr.edu/college'],United States,US,
Bucknell University,['bucknell.edu'],['http://www.bucknell.edu/'],United States,US,
Buena Vista University,['bvu.edu'],['http://www.bvu.edu/'],United States,US,
Butler University,['butler.edu'],['http://www.butler.edu/'],United States,US,
California Coast University,['calcoast.edu'],['http://www.calcoast.edu/'],United States,US,
California Institute of Technology,['caltech.edu'],['http://www.caltech.edu/'],United States,US,
California Lutheran University,['callutheran.edu'],['http://www.callutheran.edu/'],United States,US,
California Maritime Academy,['csum.edu'],['http://www.csum.edu/'],United States,US,
California National University,['cnuas.edu'],['http://www.cnuas.edu/'],United States,US,
"California Polytechnic State University, San Luis Obispo",['calpoly.edu'],['http://www.calpoly.edu/'],United States,US,
"California State University, Bakersfield","['csub.edu', 'csubak.edu']",['http://www.csub.edu/'],United States,US,
"California State University, Chico",['csuchico.edu'],['http://www.csuchico.edu/'],United States,US,
"California State University, Dominguez Hills",['csudh.edu'],['http://www.csudh.edu/'],United States,US,
"California State University, Fresno","['csufresno.edu', 'fresnostate.edu']","['http://www.csufresno.edu/', 'http://www.fresnostate.edu/']",United States,US,
"California State University, Fullerton",['fullerton.edu'],['http://www.fullerton.edu/'],United States,US,
"California State University, Hayward",['csuhayward.edu'],['http://www.csuhayward.edu/'],United States,US,
"California State University, Long Beach",['csulb.edu'],['http://www.csulb.edu/'],United States,US,
"California State University, Los Angeles",['calstatela.edu'],['http://www.calstatela.edu/'],United States,US,
"California State University, Monterey Bay",['csumb.edu'],['http://www.csumb.edu/'],United States,US,
"California State University, Northridge",['csun.edu'],['http://www.csun.edu/'],United States,US,
"California State University, Sacramento",['csus.edu'],['http://www.csus.edu/'],United States,US,
"California State University, San Bernardino",['csusb.edu'],['http://www.csusb.edu/'],United States,US,
"California State University, San Marcos",['csusm.edu'],['http://www.csusm.edu/'],United States,US,
"California State University, Stanislaus",['csustan.edu'],['http://www.csustan.edu/'],United States,US,
California State University System,['calstate.edu'],['http://www.calstate.edu/'],United States,US,
California University of Pennsylvania,['cup.edu'],['http://www.cup.edu/'],United States,US,Pennsylvania
Calvin College,['calvin.edu'],['http://www.calvin.edu/'],United States,US,
Cameron University,['cameron.edu'],['http://www.cameron.edu/'],United States,US,
Campbellsville College,['campbellsville.edu'],['http://www.campbellsville.edu/'],United States,US,
Campbell University,['campbell.edu'],['http://www.campbell.edu/'],United States,US,
Canisius College,['canisius.edu'],['http://www.canisius.edu/'],United States,US,
Capella University,"['capella.edu', 'capellauniversity.edu']","['http://www.capella.edu/', 'http://www.capellauniversity.edu/']",United States,US,
Capitol Technology University,['captechu.edu'],['http://www.captechu.edu/'],United States,US,
Carleton College,['carleton.edu'],['http://www.carleton.edu/'],United States,US,
Carlow College,['carlow.edu'],['http://www.carlow.edu/'],United States,US,
Carnegie Mellon University,['cmu.edu'],['http://www.cmu.edu/'],United States,US,
Carroll College,['carroll.edu'],['http://www.carroll.edu/'],United States,US,
Carroll University,['carrollu.edu'],['http://www.carrollu.edu/'],United States,US,
Carson-Newman College,['cn.edu'],['http://www.cn.edu/'],United States,US,
Carthage College,['carthage.edu'],['http://www.carthage.edu/'],United States,US,
Case Western Reserve University,['case.edu'],['http://www.case.edu/'],United States,US,
Castleton State University,['castleton.edu'],['http://www.castleton.edu/'],United States,US,
Catholic University of America,['cua.edu'],['http://www.cua.edu/'],United States,US,
